country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","24-03-2026 13:00:00",25.610369,85.132568,NO2,1,2,1
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","24-03-2026 13:00:00",25.610369,85.132568,SO2,1,17,8
India,Bihar,Patna,"Muradpur, Patna - BSPCB","24-03-2026 13:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-03-2026 13:00:00",25.599486,85.113666,NH3,1,1,1
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-03-2026 13:00:00",25.599486,85.113666,CO,4,74,28
India,Bihar,Patna,"Samanpura, Patna - BSPCB","24-03-2026 13:00:00",25.596727,85.085624,SO2,3,5,4
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-03-2026 13:00:00",26.2271665,84.3570427,NH3,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-03-2026 13:00:00",26.2271665,84.3570427,SO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","24-03-2026 13:00:00",30.751462,76.762879,PM10,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","24-03-2026 13:00:00",30.751462,76.762879,OZONE,42,65,45
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","24-03-2026 13:00:00",21.194815,81.314770,PM10,14,50,27
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","24-03-2026 13:00:00",22.368195,82.746431,OZONE,4,19,10
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","24-03-2026 13:00:00",22.348441,82.549611,PM2.5,40,307,147
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","24-03-2026 13:00:00",22.348441,82.549611,NH3,1,1,1
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","24-03-2026 13:00:00",22.126650,83.483212,SO2,10,75,24
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","24-03-2026 13:00:00",21.258815,81.578979,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","24-03-2026 13:00:00",21.219665,81.630094,NO2,23,53,38
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","24-03-2026 13:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","24-03-2026 13:00:00",21.237755,81.705301,NO2,15,29,19
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","24-03-2026 13:00:00",26.0881305,87.93840336,CO,16,19,18
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","24-03-2026 13:00:00",26.63086,84.90051,PM2.5,15,170,82
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","24-03-2026 13:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.11442,85.39813,PM10,47,116,84
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.11442,85.39813,NO2,25,55,35
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-03-2026 13:00:00",28.815329,77.153010,PM10,48,466,186
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-03-2026 13:00:00",28.815329,77.153010,NO2,14,102,39
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-03-2026 13:00:00",28.815329,77.153010,SO2,6,45,12
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.647622,77.3158090,PM2.5,8,348,217
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.647622,77.3158090,NO2,40,125,74
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.647622,77.3158090,CO,50,115,99
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.695381,77.181665,PM2.5,65,354,198
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.695381,77.181665,SO2,12,33,21
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","24-03-2026 13:00:00","28.594169 ","77.125100 ",NO2,23,144,74
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","24-03-2026 13:00:00","28.594169 ","77.125100 ",NH3,1,7,3
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","24-03-2026 13:00:00","28.594169 ","77.125100 ",SO2,54,57,55
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","24-03-2026 13:00:00","28.594169 ","77.125100 ",OZONE,1,49,15
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","24-03-2026 13:00:00",28.656756,77.227234,PM2.5,56,433,157
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","24-03-2026 13:00:00",28.656756,77.227234,PM10,100,445,257
India,Delhi,Delhi,"Bawana, Delhi - DPCC","24-03-2026 13:00:00",28.776200,77.051074,PM2.5,50,465,246
India,Delhi,Delhi,"Bawana, Delhi - DPCC","24-03-2026 13:00:00",28.776200,77.051074,NH3,6,8,7
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","24-03-2026 13:00:00",28.5512005,77.2735737,NO2,46,81,56
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","24-03-2026 13:00:00",28.5512005,77.2735737,CO,26,89,77
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","24-03-2026 13:00:00","28.594169 ","77.125100 ",PM10,63,179,131
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","24-03-2026 13:00:00","28.493624 ","77.201159 ",PM10,39,295,142
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","24-03-2026 13:00:00",28.6811736,77.3025234,NH3,4,31,12
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","24-03-2026 13:00:00",28.6811736,77.3025234,SO2,3,24,13
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","24-03-2026 13:00:00",28.498571,77.264840,PM10,61,266,130
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","24-03-2026 13:00:00",28.498571,77.264840,NO2,7,54,28
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","24-03-2026 13:00:00",28.498571,77.264840,CO,27,85,63
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","24-03-2026 13:00:00","28.615828 ","77.271992 ",SO2,51,55,53
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","24-03-2026 13:00:00",21.371751,81.664929,NH3,2,2,2
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-03-2026 13:00:00",28.5710274,77.0719006,NO2,33,142,89
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","24-03-2026 13:00:00",28.5627763,77.1180053,NO2,22,41,31
India,Delhi,Delhi,"Mundka, Delhi - DPCC","24-03-2026 13:00:00",28.684678,77.076574,OZONE,2,92,17
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","24-03-2026 13:00:00",28.60909,77.0325413,PM2.5,16,401,158
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","24-03-2026 13:00:00",28.60909,77.0325413,PM10,15,332,98
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","24-03-2026 13:00:00",28.60909,77.0325413,SO2,11,21,14
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","24-03-2026 13:00:00","28.594004 ","76.909423 ",PM10,43,230,138
